[train]: no. 01 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], sweater ,[Time], 0.014837503433227539
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6378555297851562
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6508843898773193
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6637470722198486
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6760811805725098
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.012984037399291992
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.025511503219604492
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03875994682312012
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.051100730895996094
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06351852416992188
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07582569122314453
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.08821320533752441
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10071730613708496
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11325907707214355
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.12583136558532715
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], sweater ,[Time], 0.13742518424987793
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], sweater ,[Time], 0.14975929260253906
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], sweater ,[Time], 0.1621081829071045
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], sweater ,[Time], 0.1744706630706787
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], sweater ,[Time], 0.1868288516998291
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], sweater ,[Time], 0.19901657104492188
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], sweater ,[Time], 0.211289644241333
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], sweater ,[Time], 0.22353219985961914
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], sweater ,[Time], 0.23586726188659668
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], sweater ,[Time], 0.24816441535949707
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.26208019256591797
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.2750859260559082
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.2884030342102051
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.30086183547973633
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.31461453437805176
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3290903568267822
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3435652256011963
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3575127124786377
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3701636791229248
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.38303565979003906
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.3974926471710205
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.4115285873413086
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.4255502223968506
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], sweater ,[Time], 0.4403674602508545
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.4542114734649658
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.4689211845397949
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.48269009590148926
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.49674129486083984
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5105228424072266
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5249233245849609
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.53757643699646
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5497705936431885
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5622773170471191
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5746703147888184
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5870387554168701
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.599189281463623
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6114299297332764
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6237795352935791
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6359894275665283
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6482951641082764
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.013609170913696289
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.026412487030029297
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.039191484451293945
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05207204818725586
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.065216064453125
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.0784916877746582
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.09148669242858887
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.1045525074005127
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11752104759216309
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13080692291259766
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], sweater ,[Time], 0.1452949047088623
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1588888168334961
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17186737060546875
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.18480873107910156
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1995704174041748
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.21279692649841309
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2259526252746582
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2397317886352539
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.25296640396118164
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2663109302520752
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.27890825271606445
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.29197239875793457
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3049294948577881
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3180563449859619
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3306913375854492
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3444967269897461
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.35820460319519043
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3713407516479492
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.38405847549438477
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3977055549621582
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.41030073165893555
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.42299509048461914
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.4356052875518799
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.4484078884124756
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.4616661071777344
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.4744420051574707
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.48717832565307617
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.49985814094543457
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5124008655548096
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5253896713256836
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5379743576049805
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5505554676055908
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5630567073822021
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5759978294372559
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5884854793548584
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6010503768920898
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6135280132293701
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6260652542114258
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6386306285858154
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6513121128082275
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.013571977615356445
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.026334047317504883
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03878974914550781
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.06430745124816895
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.07684826850891113
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.08984875679016113
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.10241079330444336
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.1153421401977539
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.12841463088989258
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.1413421630859375
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], shirt ,[Time], 0.15405511856079102
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.16669821739196777
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17902636528015137
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.19174909591674805
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], shirt ,[Time], 0.20422983169555664
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.21663355827331543
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2296586036682129
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], shirt ,[Time], 0.24213171005249023
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2544536590576172
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2672853469848633
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.27969813346862793
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.29268336296081543
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3060894012451172
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.31974196434020996
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.33413100242614746
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3485128879547119
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3619513511657715
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3753931522369385
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3891887664794922
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.4022848606109619
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.4151954650878906
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.4281883239746094
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.4405250549316406
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.4544103145599365
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.467623233795166
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.48039793968200684
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.4930567741394043
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.5058884620666504
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5183506011962891
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5308918952941895
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5433292388916016
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5557899475097656
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.568213701248169
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5806186199188232
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5930197238922119
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6055152416229248
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6187231540679932
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6323442459106445
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.645230770111084
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6578943729400635
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 41 ,[Category], pant ,[Pred], sweater ,[Time], 0.01351475715637207
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.026110410690307617
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03878951072692871
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.051389455795288086
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06396031379699707
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07642531394958496
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.08878111839294434
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10116958618164062
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11351370811462402
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.1257493495941162
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 81 ,[Category], shirt ,[Pred], pant ,[Time], 0.1387484073638916
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.15218830108642578
