[train]: no. 01 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.01526784896850586
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], sweater ,[Time], 0.25422167778015137
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2683572769165039
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.28194594383239746
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.2967212200164795
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.31081461906433105
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3255350589752197
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.33885645866394043
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.35282182693481445
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.36681032180786133
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.38104796409606934
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3949439525604248
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.4095487594604492
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.42349791526794434
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.4365243911743164
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.45004749298095703
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.4631509780883789
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.47644925117492676
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.4897477626800537
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.5033252239227295
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.51613450050354
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.5297613143920898
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5433354377746582
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5561337471008301
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5687479972839355
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5824413299560547
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5959746837615967
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6091070175170898
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6216933727264404
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.635622501373291
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.648195743560791
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6612462997436523
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.674281120300293
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6869261264801025
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.013029813766479492
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.02623891830444336
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.04010939598083496
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05321168899536133
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.0662391185760498
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07929229736328125
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.09230375289916992
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.1054229736328125
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11833953857421875
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13126373291015625
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], shirt ,[Time], 0.14487552642822266
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.15910553932189941
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17324566841125488
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.187608003616333
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], shirt ,[Time], 0.20185470581054688
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.21595001220703125
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.23046374320983887
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], shirt ,[Time], 0.24463486671447754
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2587459087371826
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.273723840713501
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.28964900970458984
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.30560851097106934
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.32109642028808594
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3366513252258301
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.35209131240844727
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3674142360687256
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.38238525390625
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3969237804412842
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.41260671615600586
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.4281585216522217
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.44327354431152344
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.45784568786621094
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.47246456146240234
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], sweater ,[Time], 0.4878835678100586
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.5024685859680176
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.5178205966949463
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.5321722030639648
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.5465388298034668
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5608177185058594
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5754880905151367
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5883328914642334
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6012256145477295
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6141154766082764
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6273312568664551
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6404383182525635
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6534092426300049
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6662795543670654
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.679358720779419
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6923346519470215
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.7052950859069824
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.012804508209228516
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.026307106018066406
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03879976272583008
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.0514373779296875
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06388115882873535
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07644367218017578
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.08894014358520508
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10189986228942871
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11492562294006348
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.12786650657653809
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], sweater ,[Time], 0.1421351432800293
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1558079719543457
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.16910505294799805
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.18216490745544434
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], shirt ,[Time], 0.19704031944274902
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.20988202095031738
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.22273612022399902
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], shirt ,[Time], 0.23616933822631836
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.24923443794250488
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2622518539428711
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.27482104301452637
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.2874479293823242
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.30083417892456055
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.31403350830078125
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.32674145698547363
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.34052109718322754
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3543813228607178
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.36783266067504883
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3805844783782959
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3942596912384033
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.40675878524780273
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.4191720485687256
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.4316287040710449
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.44410085678100586
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.45682525634765625
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.46932029724121094
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.4816865921020508
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.49413561820983887
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5066039562225342
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5194382667541504
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5318527221679688
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5442521572113037
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5566394329071045
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5692870616912842
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5816397666931152
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.594069242477417
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6064741611480713
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6188497543334961
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.631216287612915
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6437220573425293
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.01346731185913086
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.02675151824951172
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03961443901062012
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.0524601936340332
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06535863876342773
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07877469062805176
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.0916600227355957
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10468053817749023
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11799287796020508
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13113188743591309
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1441967487335205
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1575155258178711
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17026376724243164
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.18341875076293945
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], shirt ,[Time], 0.19633126258850098
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.20921087265014648
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.22268962860107422
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], shirt ,[Time], 0.23541951179504395
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.24796724319458008
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2609829902648926
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.27367448806762695
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.28689002990722656
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.30087780952453613
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.31534886360168457
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.330477237701416
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3453342914581299
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3594396114349365
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3738996982574463
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3883826732635498
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.4024817943572998
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.41565394401550293
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.4290475845336914
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.4415290355682373
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.45549726486206055
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.4687817096710205
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.4816734790802002
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.49456095695495605
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.5072352886199951
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5200221538543701
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5325877666473389
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5455207824707031
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5581295490264893
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5705108642578125
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5829286575317383
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5953977108001709
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6079251766204834
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6202943325042725
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6339209079742432
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6466612815856934
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6590619087219238
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.013584613800048828
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.026339054107666016
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03896164894104004
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05176115036010742
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06458115577697754
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07718276977539062
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.08981752395629883
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10247516632080078
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11493659019470215
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.12744617462158203
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 81 ,[Category], shirt ,[Pred], sweater ,[Time], 0.14029383659362793
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.15401029586791992
