[train]: no. 01 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], towel ,[Time], 0.014606237411499023
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3211243152618408
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3343625068664551
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.347853422164917
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.36122941970825195
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.37521839141845703
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.38878631591796875
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.4029722213745117
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.4166221618652344
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.4295313358306885
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.44286203384399414
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.4555778503417969
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.4687068462371826
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.48155879974365234
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.49491024017333984
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.5075259208679199
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.5208120346069336
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.533820629119873
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5463838577270508
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5586583614349365
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5719716548919678
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5852243900299072
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.597987174987793
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6101922988891602
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6238706111907959
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6362049579620361
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6490585803985596
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6617217063903809
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.674039363861084
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.012255668640136719
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.024725675582885742
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03790736198425293
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.050337791442871094
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06285667419433594
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07521581649780273
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.08751773834228516
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.09992074966430664
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11230874061584473
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.12461280822753906
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], None ,[Time], 0.13610148429870605
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], None ,[Time], 0.14820194244384766
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], None ,[Time], 0.16042423248291016
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], None ,[Time], 0.17265081405639648
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], None ,[Time], 0.1848926544189453
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], None ,[Time], 0.19694113731384277
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], None ,[Time], 0.2091994285583496
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], None ,[Time], 0.22121477127075195
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], None ,[Time], 0.23356175422668457
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], sweater ,[Time], 0.24563121795654297
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], pant ,[Time], 0.25890159606933594
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.2711610794067383
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.28400230407714844
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.29614734649658203
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3093454837799072
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.32347536087036133
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.33752894401550293
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.35120344161987305
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.36336660385131836
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.37581467628479004
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.3898184299468994
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.4033815860748291
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.416980504989624
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], None ,[Time], 0.43140721321105957
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.44488525390625
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.4591944217681885
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.47253894805908203
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.48587751388549805
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.49927306175231934
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5130836963653564
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5251104831695557
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.537085771560669
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5494554042816162
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5615861415863037
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5736420154571533
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5856261253356934
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5976080894470215
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6097848415374756
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6218562126159668
[train]: no. 02 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6342878341674805
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.013178348541259766
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.02690267562866211
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03969287872314453
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05280613899230957
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06565690040588379
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.0786738395690918
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.0915381908416748
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10448813438415527
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11735081672668457
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13037967681884766
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], sweater ,[Time], 0.1448974609375
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.15877866744995117
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17215871810913086
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.18532037734985352
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2003483772277832
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.21374106407165527
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.22702240943908691
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2408888339996338
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.25414466857910156
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.26750850677490234
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.2800142765045166
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.2927844524383545
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.30606770515441895
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3192257881164551
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3322775363922119
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.34615111351013184
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3602268695831299
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3735647201538086
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3862795829772949
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.40004658699035645
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.4126255512237549
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.425372838973999
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.437882661819458
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.4506552219390869
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.4637269973754883
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.47645044326782227
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.4892117977142334
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.5019705295562744
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5146284103393555
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5276331901550293
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5403690338134766
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5532150268554688
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5659496784210205
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5792241096496582
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.591933012008667
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6046736240386963
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.617274284362793
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6300289630889893
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6426398754119873
[train]: no. 03 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6552879810333252
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.013962030410766602
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.027060270309448242
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03995776176452637
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05299854278564453
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.0659942626953125
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07939338684082031
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.09238958358764648
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10535979270935059
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11887478828430176
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13211941719055176
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], shirt ,[Time], 0.14525079727172852
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1582167148590088
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1710960865020752
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1841566562652588
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1973409652709961
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.21020793914794922
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.22356677055358887
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], shirt ,[Time], 0.23648667335510254
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.24929189682006836
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.26229262351989746
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.27535390853881836
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.28852105140686035
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3027517795562744
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.31728172302246094
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.332486629486084
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.34745359420776367
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3616504669189453
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.37598514556884766
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.39064669609069824
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.40484189987182617
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.4182446002960205
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.43129992485046387
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.4439113140106201
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], None ,[Time], 0.4581725597381592
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.4715156555175781
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.4844238758087158
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.4974634647369385
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.510155439376831
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5229430198669434
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5356953144073486
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5483283996582031
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5610349178314209
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5736253261566162
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5863039493560791
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5989208221435547
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6116418838500977
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 207 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6241879463195801
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 208 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.637814998626709
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 209 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6508705615997314
[train]: no. 04 ,bandwidth, 95 ,[video_idx], 210 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6635637283325195
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 41 ,[Category], pant ,[Pred], towel ,[Time], 0.013307809829711914
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.025738954544067383
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.038033485412597656
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05046796798706055
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06289958953857422
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07520699501037598
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.08746981620788574
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.09962821006774902
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11185789108276367
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.12440848350524902
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 81 ,[Category], shirt ,[Pred], None ,[Time], 0.1370553970336914
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 82 ,[Category], shirt ,[Pred], None ,[Time], 0.1506040096282959
[train]: no. 01 ,bandwidth, 90 ,[video_idx], 83 ,[Category], shirt ,[Pred], None ,[Time], 0.16463088989257812
